,date,open,high,low,close,volume,oi
0,2022-07-14 09:15:00+05:30,500.0,501.0,500.0,501.0,50,250400
1,2022-07-14 09:16:00+05:30,501.0,503.0,500.0,500.0,550,250400
2,2022-07-14 09:17:00+05:30,500.0,500.0,500.0,500.0,0,250400
3,2022-07-14 09:18:00+05:30,500.0,505.1,500.0,505.1,150,250700
4,2022-07-14 09:19:00+05:30,505.1,505.1,505.1,505.1,100,250700
5,2022-07-14 09:20:00+05:30,505.1,515.1,505.1,515.1,50,250800
6,2022-07-14 09:21:00+05:30,515.1,515.6,512.55,515.15,700,250800
7,2022-07-14 09:22:00+05:30,515.15,515.15,509.05,509.35,250,250800
8,2022-07-14 09:23:00+05:30,509.35,509.35,509.35,509.35,0,250800
9,2022-07-14 09:24:00+05:30,509.35,509.35,509.35,509.35,0,250800
10,2022-07-14 09:25:00+05:30,509.35,509.35,496.6,497.4,200,251050
11,2022-07-14 09:26:00+05:30,497.4,497.4,494.3,495.5,300,251050
12,2022-07-14 09:27:00+05:30,495.5,495.5,495.5,495.5,0,251050
13,2022-07-14 09:28:00+05:30,495.5,495.5,495.5,495.5,0,251050
14,2022-07-14 09:29:00+05:30,495.5,495.5,494.2,494.2,100,251050
15,2022-07-14 09:30:00+05:30,494.2,494.2,492.65,494.2,100,251050
16,2022-07-14 09:31:00+05:30,494.2,501.5,494.2,501.5,50,251050
17,2022-07-14 09:32:00+05:30,505.35,505.35,500.8,500.8,450,251100
18,2022-07-14 09:33:00+05:30,500.8,509.95,499.75,509.95,100,251100
19,2022-07-14 09:34:00+05:30,514.35,521.75,514.35,517.65,5650,251100
20,2022-07-14 09:35:00+05:30,517.65,521.45,517.65,520.1,800,249400
21,2022-07-14 09:36:00+05:30,520.1,525.15,515.5,515.5,600,249400
22,2022-07-14 09:37:00+05:30,515.5,520.05,514.9,517.9,400,249400
23,2022-07-14 09:38:00+05:30,517.9,521.1,517.9,520.0,400,249900
24,2022-07-14 09:39:00+05:30,520.0,520.0,516.15,518.05,300,249900
25,2022-07-14 09:40:00+05:30,518.05,518.05,513.85,513.85,200,249900
26,2022-07-14 09:41:00+05:30,520.35,520.35,516.85,518.2,250,250400
27,2022-07-14 09:42:00+05:30,518.2,520.4,517.6,517.65,300,250400
28,2022-07-14 09:43:00+05:30,517.65,519.7,517.65,517.7,150,250400
29,2022-07-14 09:44:00+05:30,517.7,518.35,513.3,515.0,450,250600
30,2022-07-14 09:45:00+05:30,515.0,518.15,515.0,518.15,250,250600
31,2022-07-14 09:46:00+05:30,518.15,519.05,517.15,517.4,200,250600
32,2022-07-14 09:47:00+05:30,517.4,520.0,517.4,520.0,100,251000
33,2022-07-14 09:48:00+05:30,521.3,521.7,520.9,521.7,150,251000
34,2022-07-14 09:49:00+05:30,521.7,527.3,521.15,526.15,400,251000
35,2022-07-14 09:50:00+05:30,526.15,529.2,526.05,526.05,100,251200
36,2022-07-14 09:51:00+05:30,526.05,526.05,526.05,526.05,0,251200
37,2022-07-14 09:52:00+05:30,526.05,535.0,526.05,535.0,100,251200
38,2022-07-14 09:53:00+05:30,535.0,535.0,529.9,529.9,50,251200
39,2022-07-14 09:54:00+05:30,529.9,531.5,529.9,531.5,150,251200
40,2022-07-14 09:55:00+05:30,531.5,531.5,531.5,531.5,0,251200
41,2022-07-14 09:56:00+05:30,531.5,531.5,531.5,531.5,0,251200
42,2022-07-14 09:57:00+05:30,531.5,531.5,531.5,531.5,0,251200
43,2022-07-14 09:58:00+05:30,531.5,531.5,531.5,531.5,0,251200
44,2022-07-14 09:59:00+05:30,531.5,531.5,531.5,531.5,0,251200
45,2022-07-14 10:00:00+05:30,531.5,546.3,531.5,546.3,100,251150
46,2022-07-14 10:01:00+05:30,546.3,546.3,544.4,544.4,100,251150
47,2022-07-14 10:02:00+05:30,544.4,544.4,544.0,544.0,50,251150
48,2022-07-14 10:03:00+05:30,544.0,548.95,544.0,548.95,100,251150
49,2022-07-14 10:04:00+05:30,548.95,549.0,548.95,549.0,150,251150
50,2022-07-14 10:05:00+05:30,549.0,552.45,549.0,552.45,100,251150
51,2022-07-14 10:06:00+05:30,552.45,552.45,545.25,545.25,50,251100
